Film,Year,IMDB LINK,Location Display Text,GEO_ID
Mad Hot Ballroom,2005,http://www.imdb.com/title/tt0438205/,Washington Heights Harlem Manhattan,102
Malcolm X,1992,http://www.imdb.com/title/tt0104797/,"Adjacent to Apollo Theater, W. 125th St. between 7th and 8th Aves Harlem, Manhattan",103
Man Push Cart,2005,http://imdb.com/title/tt0464105/,Midtown Manhattan,104
Manhattan,1979,http://www.imdb.com/title/tt0079522/,MoMA W. 53rd St. Manhattan,105
Marty,1955,http://imdb.com/title/tt0048356/,The Bronx,106
McCloud,1970-1977,http://imdb.com/title/tt0065317/,Manhattan,107
Mean Streets,1973,http://www.imdb.com/title/tt0070379/,Hester St. and Baxter St. Little Italy Manhattan,108
Men in Black,1997,http://www.imdb.com/title/tt0119654/,Battery Park Lower Manhattan,109
Men in Black,1997,http://www.imdb.com/title/tt0119654/,MacDougal St. SoHo Manhattan,110
Men in Black,1997,http://www.imdb.com/title/tt0119654/,Grand Central Station 87 E. 42nd St. Manhattan,111
Men in Black,1997,http://www.imdb.com/title/tt0119654/,Guggenheim Museum E. 88th St. and Fifth Ave. Manhattan,112
Midnight Cowboy,1969,http://www.imdb.com/title/tt0064665/,1414 Broadway Midtown Manhattan,113
Midnight Cowboy,1968,http://www.imdb.com/title/tt0064665/,Times Square Manhattan,114
Mirage,1965,http://imdb.com/title/tt0059448/,Fifth Ave. and 66th St. Central Park Manhattan,115
Mo' Better Blues,1990,http://www.imdb.com/title/tt0100168/,Brooklyn Bridge,116
My Dinner with André,1991,http://imdb.com/title/tt0082783/,Subway ,117
New Jack City,1991,http://www.imdb.com/title/tt0102526/,Grant's Tomb Harlem Manhattan,118
"Next Stop, Greenwich Village",1975,http://imdb.com/title/tt0074963/,MacDougal St. West Village Manhattan,119
Nighthawks,1981,http://www.imdb.com/title/tt0082817/,Roosevelt Island Tramway Manhattan,120
No Way to Treat a Lady,1968,http://www.imdb.com/title/tt0063356/,New York City Bus Manhattan,121
No Way to Treat a Lady,1968,http://www.imdb.com/title/tt0063356/,Carmines 200 W. 44th St.  Manhattan,122
North by Northwest,1959,http://imdb.com/title/tt0053125/,Grand Central Terminal Midtown Manhattan,123
On the Town,1949,http://imdb.com/title/tt0041716/,Little Italy Manhattan,124
On the Waterfront,1954,http://imdb.com/title/tt0047296/,"Hoboken, New Jersey View of Manhattan",125
One Fine Day,1996,http://www.imdb.com/title/tt0117247/,Carnegie Deli Seventh Ave. and W. 55th St. Manhattan,126
One Fine Day,1996,http://www.imdb.com/title/tt0117247/,Near Bethesda Fountain Central Park Manhattan,127
Other People's Money,1991,http://imdb.com/title/tt0102609/,World Trade Center Lower Manhattan,128
Pieces of April,2003,http://www.imdb.com/title/tt0311648/,Lower East Side Manhattan,129
Plaza Suite,1971,http://www.imdb.com/title/tt0067589/,Rockefeller Center 600 Fifth Ave. Manhattan,130
Prime,2005,http://www.imdb.com/title/tt0387514/,Dean and Deluca SoHo Manhattan,131
Ragtime,1981,http://www.imdb.com/title/tt0082970/,E. 11th St. between Ave. A and Ave. B East Village Manhattan,132
Report to the Commissioner,1975,http://www.imdb.com/title/tt0073620/,Winter Garden Theater 1634 Broadway Manhattan,133
Requiem for a Dream,2000,http://www.imdb.com/title/tt0180093/,Coney Island Boardwalk Brooklyn,134
Rosemary's Baby,1968,http://www.imdb.com/title/tt0063522/,Fifth Ave. and E. 62nd St. Upper East Side Manhattan,135
Rosemary's Baby,1968,http://www.imdb.com/title/tt0063522/,"The Dakota 72nd St. and Central Park West Manhattan
",136
Rosemary's Baby,1968,http://www.imdb.com/title/tt0063522/,"The Dakota 72nd St. and Central Park West Manhattan
",137
Saturday Night Fever,1977,http://www.imdb.com/title/tt0076666/,4th Ave. and 86th St. Bay Ridge Brooklyn,138
Saturday Night Fever,1977,http://www.imdb.com/title/tt0076666/,Subway Car Brooklyn,139
Searching for Bobby Fischer,1993,http://www.imdb.com/title/tt0108065/,Washington Square Park West Village Manhattan,140
Serpico,1973,http://www.imdb.com/title/tt0070666/,"Williamsburg Tenaments Brooklyn
",141
Sesame Street,1969-today,http://www.imdb.com/title/tt0063951/,Kaufman Astoria Studios Astoria Queens,142
Sex and the City,1998-2004,http://www.imdb.com/title/tt0159206/,Magnolia Bakery 401 Bleecker St. Manhattan,143
Shadows,1959,http://imdb.com/title/tt0053270/,MoMA W. 53rd St. Manhattan,144
Shaft,1971,http://www.imdb.com/title/tt0067741/,Seventh Ave. and W. 42nd St. Times Square Manhattan,145
Shaft,2000,http://www.imdb.com/title/tt0162650/,New York County Courthouse 60 Centre St. Lower Manhattan,146
She's the One,1996,http://www.imdb.com/title/tt0117628/,McHales Pub W. 46th and Eighth Ave. Manhattan,147
Single White Female,1992,http://www.imdb.com/title/tt0105414/,Ansonia Hotel 2109 Broadway Manhattan,148
Six Degrees of Separation,1993,http://www.imdb.com/title/tt0108149/,Central Park Manhattan,149
Six Degrees of Separation,1993,http://www.imdb.com/title/tt0108149/,Metropolitan Museum of Art Fifth Ave. at 82nd St.,150
Sleepers,1996,http://www.imdb.com/title/tt0117665/,"W. 47th St., near Pier 87 Manhattan",151
Sleepers,1996,http://www.imdb.com/title/tt0117665/,"W. 47th St., near Pier 87 Manhattan",152
Smithereens,1982,http://www.imdb.com/title/tt0084698/,Lower East Side Manhattan,153
Smoke,1995,http://www.imdb.com/title/tt0114478/,Prospect Park and 16th St. Windsor Terrace Brooklyn,154
Sophie's Choice,1982,http://www.imdb.com/title/tt0084707/,101 Rugby Rd. Brooklyn,155
Spider-Man,2002,http://www.imdb.com/title/tt0145487/,Midtown Manhattan,156
Spider-Man,2002,http://www.imdb.com/title/tt0145487/,Midtown Manhattan,157
Spider-Man,2002,http://www.imdb.com/title/tt0145487/,Sunnyside Queens,158
Splash,1984,http://www.imdb.com/title/tt0088161/,Pier 17 Manhattan,159
State of Grace,1990,http://imdb.com/title/tt0100685/,Hell's Kitchen Manhattan,160
Sugar Hill,1994,http://www.imdb.com/title/tt0107079/,Edgecomb Ave. Harlem Manhattan,161
Summer of Sam,1999,http://www.imdb.com/title/tt0162677/,"CBGB's  315 Bowery (at Bleecker) East Village, Manhattan",162
Sweet Home Alabama,2002,http://www.imdb.com/title/tt0256415/,Tiffany & Co. 727 Fifth Ave. Manhattan,163
Sweet November,1968,http://www.imdb.com/title/tt0063661/,Remsen St. and Montague Terrace Brooklyn Heights Brooklyn,164
Sweet Smell of Success,1957,http://imdb.com/title/tt0051036/,Manhattan ,165
Taxi Driver,1976,http://www.imdb.com/title/tt0075314/,E. 12th St. and Third Ave. East Village Manhattan,166
Taxi Driver,1976,http://www.imdb.com/title/tt0075314/,Bellmore Cafeteria Park Ave. South and E. 28th St. Manhattan,167
Taxi Driver,1976,http://www.imdb.com/title/tt0075314/,Columbus Ave. and E. 86th St. Upper West Side Manhattan,168
The Anderson Tapes,1971,http://www.imdb.com/title/tt0066767/,E. 91st St. and Fifth Ave. Upper East Side Manhattan,169
The April Fools,1969,http://www.imdb.com/title/tt0064036/,Marine Midlane Bank 140 Broadway Lower Manhattan,170
The April Fools,1969,http://www.imdb.com/title/tt0064036/,Central Park Manhattan,171
The Basketball Diaries ,1995,http://imdb.com/title/tt0112461/,Forest Hills,172
The Bonfire of the Vanities,1990,http://www.imdb.com/title/tt0099165/,E. 74th St. and Park Ave. Upper East Side Manhattan,173
The Brother from Another Planet,1984,http://www.imdb.com/title/tt0087004/,Ellis Island New York Harbor,174
The Brothers McMullen,1995,http://www.imdb.com/title/tt0112585/,W. 46th St. and Eighth Ave. Midtown Manhattan,175
The Cotton Club,1984,http://imdb.com/title/tt0087089/,E. 6th St. between First Ave. & Ave. A East Village Manhattan,176
The Cowboy Way,1994,http://www.imdb.com/title/tt0109493/,Manhattan Bridge,177
The Devil's Advocate,1997,http://www.imdb.com/title/tt0118971/,Chinatown Manhattan,178
The Fisher King,1991,http://www.imdb.com/title/tt0101889/,Grand Central Station 87 E. 42nd St. Manhattan,179
The French Connection,1971,http://www.imdb.com/title/tt0067116/,Bay 50th St. Station Brooklyn,180
The Godfather Part II,1974,http://www.imdb.com/title/tt0071562/,E. 6th St. and Ave. A East Village Manhattan,181
The Honeymooners,1955-1956,http://www.imdb.com/title/tt0042114/,358 Chauncy St. Bensonhurst Brooklyn,182
The Hours,2002,http://imdb.com/title/tt0274558/,W. 14th St. and Hudson St. West Village Manhattan,183
The Interpreter,2005,http://www.imdb.com/title/tt0373926/,United Nations First Ave. and E. 45th St. Manhattan,184
The Landlord,1970,http://www.imdb.com/title/tt0065963/,51 Prospect Pl. Brooklyn,185
The Landlord,1970,http://www.imdb.com/title/tt0065963/,51 Prospect Pl. Brooklyn,186
